,close_price,days_holding,dt_close,dt_open,flag_open,id_instrument,long_short,margin_capital,multiplier,open_price,premium,realized_pnl,unit
70,0.1243,28.0,2016-08-16,2016-07-19,0.0,50etf_1612_c_2.202_A,1.0,0.0,10220.0,0.0948,29065.68,9031.264787999997,30.0
71,0.1555,28.0,2016-08-16,2016-07-19,0.0,50etf_1612_c_2.153_A,1.0,0.0,10220.0,0.1161,29663.55,10052.821240000001,25.0
72,0.2301,28.0,2016-08-16,2016-07-19,0.0,50etf_1612_c_2.055_A,1.0,0.0,10220.0,0.1691,29379.433999999997,10584.268598400002,17.0
73,0.0746,28.0,2016-08-16,2016-07-19,0.0,50etf_1612_c_2.299_A,1.0,0.0,10220.0,0.0621,29194.452,5863.646919199996,46.0
74,0.0974,28.0,2016-08-16,2016-07-19,0.0,50etf_1612_c_2.25_A,1.0,0.0,10220.0,0.0749,29088.163999999997,8724.717114400006,38.0
75,0.0628,28.0,2016-08-16,2016-07-19,0.0,50etf_1608_c_2.25,-1.0,321308.39999999997,10000.0,0.0341,29667.0,-24985.860599999993,87.0
76,0.1102,28.0,2016-08-16,2016-07-19,0.0,50etf_1608_c_2.2,-1.0,224920.8,10000.0,0.0545,29430.0,-30095.7876,54.0
77,0.0095,28.0,2016-08-16,2016-07-19,0.0,50etf_1608_c_2.35,-1.0,682393.5999999994,10000.0,0.0125,29750.0,7129.528,238.0
78,0.0256,28.0,2016-08-16,2016-07-19,0.0,50etf_1608_c_2.3,-1.0,482189.39999999997,10000.0,0.0202,29693.999999999996,-7951.465200000003,147.0
79,0.1578,28.0,2016-08-16,2016-07-19,0.0,50etf_1608_c_2.15,-1.0,158548.8,10000.0,0.0853,29002.0,-24666.5308,34.0
80,0.0551,28.0,2016-09-13,2016-08-16,0.0,50etf_1703_c_2.397_A,1.0,0.0,10220.0,0.0619,41752.788,-4602.5197679999965,66.0
81,0.0958,28.0,2016-09-13,2016-08-16,0.0,50etf_1703_c_2.25_A,1.0,0.0,10220.0,0.1201,41732.348,-8458.768186399995,34.0
82,0.0797,28.0,2016-09-13,2016-08-16,0.0,50etf_1703_c_2.299_A,1.0,0.0,10220.0,0.0986,41315.371999999996,-7934.420253200003,41.0
83,0.0655,28.0,2016-09-13,2016-08-16,0.0,50etf_1703_c_2.348_A,1.0,0.0,10220.0,0.0777,42086.982,-6623.7651424000005,53.0
